Title,Address,Link
Architect/draftsperson,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midwood)'>]",https://newyork.craigslist.org/brk/egr/d/architect-draftsperson/7063552794.html
JUNIOR PROJECT ARCHITECT,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Chelsea)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-project-architect/7062063087.html
Plumbing - Mechanical Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Flushing & Manhattan)'>]",https://newyork.craigslist.org/que/egr/d/flushing-plumbing-mechanical-project/7062007226.html
Entry Level Electrical Engineering,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-city-entry-level-electrical/7061801841.html
Architectural Designer/Drafts Person,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (White Plains, NY)'>]",https://newyork.craigslist.org/wch/egr/d/white-plains-architectural-designer/7061736872.html
Architectural Designer,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Brooklyn)'>]",https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-designer/7061525634.html
Architectural Senior Drafter/Job Captain,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown West)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7061419406.html
HVAC Design Engineer with 5 Years Design Experience in US,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Midtown)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-hvac-design-engineer-with-5/7061199900.html
Senior Project Manager,"[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (Upper East Side)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-senior-project-manager/7061182401.html
"Construction PM's, Supers, & Estimators needed....NYC","[<Selector xpath='span[@class = ""result-meta""]/span[@class = ""result-hood""]/text()' data=' (New York)'>]",https://newyork.craigslist.org/mnh/egr/d/new-york-construction-pms-supers/7061126782.html
